peak,center,center_bits,inputs,hit_rate,status,sample_size,tree_depth,tree_size,notes
10,119,7,3,0.0732,NONE,41,0,0,sampling only (7%)
11,29,5,3,0.0536,NONE,56,0,0,sampling only (5%)
12,29,5,6,0.0600,NONE,121,0,0,sampling only (6%)
13,431,9,10,0.1000,NONE,200,0,0,sampling only (10%)
14,719,10,25,0.7576,CANDIDATE,200,6,797, (known: 121)
15,1691,11,7,0.0700,NONE,200,0,0,sampling only (7%)
16,3887,12,14,0.1400,NONE,200,0,0,sampling only (14%) (known: 6803)
17,6479,13,8,0.0800,NONE,200,0,0,sampling only (8%)
18,10151,14,25,0.6757,CANDIDATE,200,6,793, (known: 27611)
19,15977,14,31,0.8158,CONFIRMED,200,6,831,
20,18089,15,12,0.1200,NONE,200,0,0,sampling only (12%)
21,52487,16,29,0.8286,CONFIRMED,200,6,794,
22,48383,16,14,0.1400,NONE,200,0,0,sampling only (14%) (known: 61823)
23,41471,16,72,0.7826,CANDIDATE,200,6,1390,
24,586115,20,24,0.7742,CANDIDATE,200,6,728,
25,705307,20,21,0.7500,CANDIDATE,200,6,699,
26,1085723,21,36,0.8000,CONFIRMED,200,6,910,
27,4918427,23,27,0.7941,CANDIDATE,200,6,787, (known: 5808671)
28,1794311,21,16,0.1600,NONE,200,0,0,sampling only (16%)
29,18097289,25,17,0.1700,NONE,200,0,0,sampling only (17%)
30,58595471,26,24,0.8571,CONFIRMED,200,6,709,
31,,,0,,NONE,80,0,0,"80 samples, no confluence"
32,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
33,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
34,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
35,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
36,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
37,35,6,4,0.0500,NONE,80,0,0,sampling only (5%)
38,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
39,,,0,,NONE,80,0,0,"80 samples, no confluence"
40,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
41,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
42,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
43,23,5,4,0.0500,NONE,80,0,0,sampling only (5%)
44,35,6,2,0.0250,NONE,80,0,0,sampling only (2%)
45,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
46,,,0,,NONE,80,0,0,"80 samples, no confluence"
47,37,6,4,0.0500,NONE,80,0,0,sampling only (5%)
48,35,6,2,0.0250,NONE,80,0,0,sampling only (2%)
49,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
50,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
51,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
52,37,6,3,0.0375,NONE,80,0,0,sampling only (4%)
53,35,6,5,0.0625,NONE,80,0,0,sampling only (6%)
54,37,6,4,0.0500,NONE,80,0,0,sampling only (5%)
55,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
56,,,0,,NONE,80,0,0,"80 samples, no confluence"
57,151,8,2,0.0250,NONE,80,0,0,sampling only (2%)
58,,,0,,NONE,80,0,0,"80 samples, no confluence"
59,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
60,35,6,5,0.0625,NONE,80,0,0,sampling only (6%)
61,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
62,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
63,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
64,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
65,2051,12,4,0.0500,NONE,80,0,0,sampling only (5%)
66,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
67,2051,12,4,0.0500,NONE,80,0,0,sampling only (5%)
68,37,6,3,0.0375,NONE,80,0,0,sampling only (4%)
69,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
70,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
71,53,6,2,0.0250,NONE,80,0,0,sampling only (2%)
72,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
73,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
74,,,0,,NONE,80,0,0,"80 samples, no confluence"
75,,,0,,NONE,80,0,0,"80 samples, no confluence"
76,23,5,3,0.0375,NONE,80,0,0,sampling only (4%)
77,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
78,2051,12,5,0.0625,NONE,80,0,0,sampling only (6%)
79,29,5,4,0.0500,NONE,80,0,0,sampling only (5%)
80,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
81,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
82,29,5,2,0.0250,NONE,80,0,0,sampling only (2%)
83,29,5,3,0.0375,NONE,80,0,0,sampling only (4%)
84,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
85,35,6,4,0.0500,NONE,80,0,0,sampling only (5%)
86,2051,12,3,0.0375,NONE,80,0,0,sampling only (4%)
87,37,6,3,0.0375,NONE,80,0,0,sampling only (4%)
88,2051,12,2,0.0250,NONE,80,0,0,sampling only (2%)
89,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
90,35,6,3,0.0375,NONE,80,0,0,sampling only (4%)
91,37,6,2,0.0250,NONE,80,0,0,sampling only (2%)
92,2051,12,4,0.0500,NONE,80,0,0,sampling only (5%)
93,37,6,3,0.0375,NONE,80,0,0,sampling only (4%)
