Number,Input_Bits,Peak_Bits,d,S,S_over_d
2358909599867980429759,71,138,257,341,1.3268
3538364399801970644639,72,138,256,340,1.3281
4717819199735960859519,72,138,257,342,1.3307
7961319899554433950439,73,138,254,338,1.3307
5307546599702955966959,73,138,255,339,1.3294
7076728799603941289279,73,138,256,341,1.3320
9435638399471921719037,73,138,257,343,1.3346
13434727330498107291367,74,138,251,334,1.3307
17912969773997476388489,74,138,252,336,1.3333
11941979849331650925659,74,138,253,337,1.3320
15922639799108867900879,74,138,254,339,1.3346
10615093199405911933919,74,138,255,340,1.3333
14153457599207882578557,74,138,256,342,1.3359
18871276798943843438077,74,138,257,344,1.3385
20152090995747160937051,75,138,250,333,1.3320
35825939547994952776979,75,138,252,337,1.3373
23883959698663301851319,75,138,253,338,1.3360
31845279598217735801757,75,138,254,340,1.3386
21230186398811823867837,75,138,255,341,1.3373
28306915198415765157117,75,138,256,343,1.3398
37742553597887686876149,75,138,257,345,1.3424
53738909321992429165469,76,138,251,336,1.3386
71651879095989905553957,76,138,252,338,1.3413
47767919397326603702637,76,138,253,339,1.3399
63690559196435471603517,76,138,254,341,1.3425
42460372797623647735677,76,138,255,342,1.3412
56613830396831530314229,76,138,256,344,1.3438
75485107195775373752305,76,138,257,346,1.3463
75485107195775373752309,76,138,257,346,1.3463
143303758191979811107917,77,138,252,339,1.3452
95535838794653207405277,77,138,253,340,1.3439
127381118392870943207029,77,138,254,342,1.3465
84920745595247295471349,77,138,255,343,1.3451
113227660793663060628465,77,138,256,345,1.3477
113227660793663060628469,77,138,256,345,1.3477
150970214391550747504597,77,138,257,347,1.3502
150970214391550747504611,77,138,257,347,1.3502
150970214391550747504625,77,138,257,347,1.3502
214955637287969716661877,78,138,251,338,1.3466
286607516383959622215829,78,138,252,340,1.3492
191071677589306414810549,78,138,253,341,1.3478
254762236785741886414065,78,138,254,343,1.3504
254762236785741886414069,78,138,254,343,1.3504
169841491190494590942705,78,138,255,344,1.3490
169841491190494590942709,78,138,255,344,1.3490
226455321587326121256917,78,138,256,346,1.3516
226455321587326121256931,78,138,256,346,1.3516
226455321587326121256945,78,138,256,346,1.3516
301940428783101495009221,78,138,257,348,1.3541
301940428783101495009237,78,138,257,348,1.3541
301940428783101495009241,78,138,257,348,1.3541
301940428783101495009251,78,138,257,348,1.3541
573215032767919244431669,79,138,252,341,1.3532
382143355178612829621105,79,138,253,342,1.3518
382143355178612829621109,79,138,253,342,1.3518
509524473571483772828117,79,138,254,344,1.3543
509524473571483772828131,79,138,254,344,1.3543
509524473571483772828145,79,138,254,344,1.3543
339682982380989181885397,79,138,255,345,1.3529
339682982380989181885411,79,138,255,345,1.3529
339682982380989181885425,79,138,255,345,1.3529
452910643174652242513861,79,138,256,347,1.3555
452910643174652242513877,79,138,256,347,1.3555
452910643174652242513881,79,138,256,347,1.3555
452910643174652242513891,79,138,256,347,1.3555
603880857566202990018389,79,138,257,349,1.3580
603880857566202990018445,79,138,257,349,1.3580
603880857566202990018481,79,138,257,349,1.3580
603880857566202990018483,79,138,257,349,1.3580
603880857566202990018501,79,138,257,349,1.3580
603880857566202990018507,79,138,257,349,1.3580
603880857566202990018521,79,138,257,349,1.3580
859822549151878866647509,80,138,251,340,1.3546
1146430065535838488863345,80,138,252,342,1.3571
1146430065535838488863317,80,138,252,342,1.3571
764286710357225659242197,80,138,253,343,1.3557
764286710357225659242211,80,138,253,343,1.3557
764286710357225659242225,80,138,253,343,1.3557
1019048947142967545656261,80,138,254,345,1.3583
1019048947142967545656277,80,138,254,345,1.3583
1019048947142967545656281,80,138,254,345,1.3583
1019048947142967545656291,80,138,254,345,1.3583
679365964761978363770821,80,138,255,346,1.3569
679365964761978363770837,80,138,255,346,1.3569
679365964761978363770841,80,138,255,346,1.3569
679365964761978363770851,80,138,255,346,1.3569
905821286349304485027669,80,138,256,348,1.3594
905821286349304485027725,80,138,256,348,1.3594
905821286349304485027761,80,138,256,348,1.3594
905821286349304485027763,80,138,256,348,1.3594
905821286349304485027781,80,138,256,348,1.3594
905821286349304485027787,80,138,256,348,1.3594
905821286349304485027801,80,138,256,348,1.3594
1207761715132405980036885,80,138,257,350,1.3619
1207761715132405980036949,80,138,257,350,1.3619
1207761715132405980036963,80,138,257,350,1.3619
1207761715132405980036965,80,138,257,350,1.3619
1207761715132405980037005,80,138,257,350,1.3619
1207761715132405980037015,80,138,257,350,1.3619
1207761715132405980037017,80,138,257,350,1.3619
1207761715132405980037041,80,138,257,350,1.3619
1207761715132405980037043,80,138,257,350,1.3619
1207761715132405980037049,80,138,257,350,1.3619
1207761715132405980037051,80,138,257,350,1.3619
