B,alpha,survivors,delta_abs,delta_sgn,ratio
16,1.05,2411,0.017878043505450247,-0.005670252379414076,0.3171629142576737
18,1.05,11933,0.0171801796792502,-0.0031090049348451625,0.18096463441532815
20,1.05,57975,0.005557606209573113,-0.004194804312203541,0.754786171243635
22,1.05,276855,0.0034075294287623536,0.0001834222246302272,0.053828507857332834
16,1.1,9772,0.010528035373530338,0.006432996486915523,0.6110348473077332
18,1.1,51833,0.007159188547836319,-0.004945215210387199,0.6907507991086174
20,1.1,271980,0.005092291418486651,-0.004461358114567244,0.8761003147563556
22,1.1,1405941,0.0037565661859210314,-0.0021009162546650187,0.5592650709945944
16,1.2,71285,0.006298268516300967,-0.001583237459815296,0.25137662132340244
18,1.2,440217,0.004708186735178327,-0.003312172951067312,0.703492265147351
20,1.2,2646638,0.0027656765451111857,-0.002502596033156019,0.9048766160235884
