B,alpha,starts,c_star,gamma,rho_last
20,1.05,524288,0.9036835508134473,3.6482871695891212,0.5023696682464455
22,1.05,2398192,0.8824939226442643,3.4590254248978933,0.5111111111111111
24,1.05,5000000,0.6596306387682943,2.774832383536836,0.3531669865642994
26,1.05,5000000,0.4502010560845772,2.0516480271250517,0.27889858233369685
28,1.05,5000000,0.13417597494414768,-0.29207842871522594,0.15839067633748682
20,1.1,1572864,0.7170785669795127,2.510303919777157,0.4974271012006861
22,1.1,5000000,0.5543826393302255,1.7075073798759537,0.3908745247148289
24,1.1,5000000,0.4540876664688457,1.2252827964719561,0.34460887949260044
26,1.1,5000000,0.31111727439588305,0.5463726089797898,0.2662533778413607
28,1.1,5000000,0.09524261780557827,-1.7523158107788896,0.14673298666063758
